UniProtKB:P41182	BCL6
UniProtKB:Q8N635	MEIOB
UniProtKB:Q7Z699	SPRED1
UniProtKB:Q7Z698	SPRED2
UniProtKB:P55273	CDKN2D
UniProtKB:P23396	RPS3
UniProtKB:P46736	BRCC3
UniProtKB:Q7Z5Q5	POLN
UniProtKB:P55211	CASP9
UniProtKB:P0CG48	UBC
UniProtKB:Q00613	HSF1
UniProtKB:P13051	UNG
UniProtKB:Q92597	NDRG1
UniProtKB:Q13888	GTF2H2
UniProtKB:Q8TC71	SPATA18
UniProtKB:Q8IW19	APLF
UniProtKB:P04637	TP53
UniProtKB:Q92547	TOPBP1
UniProtKB:Q9HBM6	TAF9B
UniProtKB:P04628	WNT1
UniProtKB:Q13838	DDX39B
UniProtKB:Q86W56	PARG
UniProtKB:Q6ZYL4	GTF2H5
UniProtKB:Q9HAY2	MAGEF1
UniProtKB:Q9HAW4	CLSPN
UniProtKB:Q92499	DDX1
UniProtKB:Q13794	PMAIP1
UniProtKB:Q6NVH7	SWSAP1
UniProtKB:Q9BRT9	GINS4
UniProtKB:Q9H9F9	ACTR5
UniProtKB:Q08211	DHX9
UniProtKB:Q9BRQ6	CHCHD6
UniProtKB:O60671	RAD1
UniProtKB:Q9H9A7	RMI1
UniProtKB:Q9H9A5	CNOT10
UniProtKB:Q9NUA8	ZBTB40
UniProtKB:Q9BRJ7	NUDT16L1
UniProtKB:Q17RS7	GEN1
UniProtKB:Q9H993	ARMT1
UniProtKB:Q9H981	ACTR8
UniProtKB:Q9H967	WDR76
UniProtKB:P60896	SEM1
UniProtKB:P12757	SKIL
UniProtKB:P98177	FOXO4
UniProtKB:P98170	XIAP
UniProtKB:Q9UNS2	COPS3
UniProtKB:Q9Y2D9	ZNF652
UniProtKB:P19447	ERCC3
UniProtKB:P19438	TNFRSF1A
UniProtKB:Q5XUX0	FBXO31
UniProtKB:Q9BQP7	MGME1
UniProtKB:Q9UQE7	SMC3
UniProtKB:Q06945	SOX4
UniProtKB:Q29RF7	PDS5A
UniProtKB:Q9H305	CDIP1
UniProtKB:P04233	CD74
UniProtKB:Q13426	XRCC4
UniProtKB:Q9NZN8	CNOT2
UniProtKB:Q9NZM5	NOP53
UniProtKB:Q13404	UBE2V1
UniProtKB:Q13401	PMS2P3
UniProtKB:P46379	BAG6
UniProtKB:Q9NZJ0	DTL
UniProtKB:Q9BX46	RBM24
UniProtKB:Q9NZC9	SMARCAL1
UniProtKB:Q5BN46	C9orf116
UniProtKB:Q6PJG6	BRAT1
UniProtKB:P61254	RPL26
UniProtKB:P61218	POLR2F
UniProtKB:P61201	COPS2
UniProtKB:O15457	MSH4
UniProtKB:Q6PIW4	FIGNL1
UniProtKB:Q9NYP3	DONSON
UniProtKB:Q13330	MTA1
